#,Adopting a social media management tool is attractive to me.,Adopting a social media management tool is cost-effective.,A social media management tool is easy to get and purchase.,Mass media affects my decision to use a social media management tool.,Expert-opinion affects my decision to use a social media management tool.,The word-of-mouth affects my decision to use a social media management tool.,Adopting a social media management tool is a way to follow a trend in my industry.,Adopting a social media management tool is a symbol of prestige.,Adopting a social media management tool is a way to increase confidence.,I am interested in news about social media management tools.,I enjoy trying new techonlogies and services.,I want to be a pioneer by using social media management tools.,Adopting a social media management tool enables me to do my job faster.,Adopting a social media management tool enables me to do my job better.,Adopting a social media management tool improves my performance.,Adopting a social media management tool makes me more competitive.,The user interface of social media management tools is <em><strong>generally</strong></em> friendly.,Using a social media management tool is understandable.,It is easy to learn using a social media management tool.,It is easy to make use of social media management tools.,"Overall, I intend to use a social media management tool in the future.",Start Date (UTC),Submit Date (UTC),Network ID
b2631647bd10dd15f9b4cbbda76fb8d8,5,4,3,2,2,4,4,1,1,2,5,3,3,3,4,4,4,3,5,2,5,2018-04-20 14:32:13,2018-04-20 14:35:35,f751557100
454f3dc33addcc65575aec2f652951a3,4,5,2,2,4,4,4,3,4,4,5,3,3,4,4,3,4,3,4,4,4,2018-04-20 14:31:32,2018-04-20 14:35:23,b62f975bdb
2fc4144741b2000965bc37469df9ff61,1,3,3,3,4,2,5,4,5,5,5,1,5,4,5,5,3,4,4,4,3,2018-04-20 14:30:15,2018-04-20 14:33:53,3bdb323e4e
db612ba5c0878b9ed882b9aab763dde1,5,3,2,3,3,3,4,4,4,4,5,5,5,5,5,4,4,2,4,4,5,2018-04-20 14:17:11,2018-04-20 14:31:04,ad97b7cb34
2208751e7c86c73a1108eb41d66ae31b,4,2,4,4,5,5,2,2,4,5,5,5,4,4,4,5,4,4,4,4,5,2018-04-20 14:24:11,2018-04-20 14:27:09,2d4e0ad464
7114857cf6804566e9b34d8ddf976209,4,3,4,4,5,5,2,1,1,5,5,4,5,4,3,3,5,5,4,4,5,2018-04-20 14:20:02,2018-04-20 14:26:35,2d8449fe7f
b5fb970f2d8e54663367edc7f0cdf729,5,4,3,3,5,4,3,2,4,5,5,5,5,5,5,5,5,1,4,4,5,2018-04-20 14:18:25,2018-04-20 14:21:51,534ec67b77
87d2c56ef47f5d5516d88007c0037acd,3,4,3,3,4,4,4,2,4,2,4,3,4,4,4,4,3,3,4,4,4,2018-04-20 14:17:03,2018-04-20 14:21:17,2f7ac1618f
83ba17ff335ff8d2052b88d57d6c8acb,4,4,4,3,5,5,5,4,5,3,5,5,5,5,4,5,4,4,4,4,4,2018-04-20 13:50:48,2018-04-20 13:55:26,ad97b7cb34
75a35730f9191ae688155d58485f1c17,4,3,2,4,4,4,4,3,3,4,4,3,4,3,4,4,3,2,3,3,4,2018-04-20 13:46:30,2018-04-20 13:50:09,ad97b7cb34
92cea2168728b0a9235e75a8402ffcbd,3,,4,1,,,,,5,1,,1,5,,,,1,1,3,1,4,2018-04-20 13:32:55,2018-04-20 13:38:48,57de24be12
6fc041fcf2ce7a2c547be6c3aa4101ef,3,4,4,4,4,4,3,2,3,2,5,4,4,4,4,3,4,2,4,4,4,2018-04-20 13:26:08,2018-04-20 13:32:17,57de24be12
ff2d4733d5ccb415c44b733fc71a9d87,5,4,3,4,4,3,3,3,4,3,3,3,4,4,4,3,3,3,5,4,4,2018-04-20 13:26:07,2018-04-20 13:31:20,ad97b7cb34
0b905fed1c75b6b761d1b9e11785ffaf,4,4,3,4,4,4,4,4,4,5,5,5,4,4,4,5,4,4,5,4,5,2018-04-20 13:24:48,2018-04-20 13:29:59,ad97b7cb34
1a3189aa5b152b5d93281a887a6b8e49,4,3,4,4,3,2,4,2,3,4,4,3,4,3,3,4,4,4,4,4,5,2018-04-20 13:25:41,2018-04-20 13:29:32,876eb71159
bea92c92fb1979cf023204a08d466e51,4,3,2,2,4,5,2,2,3,5,4,4,4,4,4,4,5,5,5,3,5,2018-04-20 13:25:15,2018-04-20 13:28:36,ad97b7cb34
